Code,Name,Symptoms,Treatments
304,Сетчатка,"Плавучее плавучее плавание (камни или фигуры, похожие на паутину), вспышки света, тень, похожая на занавеску на зрение, внезапная потеря зрения","Хирургическое вмешательство (пневматическая сетчатка, склеральная пряжка, витректомия), лазерная терапия, криотерапия, инъекция масла газом или силиконом, позиционирование, регулярные осмотры глаз"
305,Апластическая анемия,"Усталость, бледная кожа, частые инфекции, дыхание, быстрое или неправильное сердцебиение, продолжительное кровотечение или кровотечение","Переливание крови, лечение костным мозгом, иммунодепрессивная терапия, трансплантация стволовых клеток (в тяжелых случаях), поддержка"
306,Недержание избыточного потока,"Частое или постоянное сливание мочи, неспособность полностью опустошить мочевой пузырь, слабый мочевой поток","Упражнения по пузырю, двойная дезертирация, катетеризация, лекарства (альфа-блокаторы, антихолинергика), хирургия (в тяжелых случаях), изменение образа жизни"
307,Рабы,"Симптомы, похожие на флюоресценцию (жажда, головная боль, усталость), беспокойство, путаница, галлюцинации, трудности с проглатыванием","Незамедлительная медицинская помощь (предупреждение после заражения), лечение ран, применение вакцины от бешенства и иммуноглобулина, поддержка, мониторинг и лечение симптомов"
308,Гемолитическая анемия,"Усталость, слабость, бледная кожа, дыхание, желтость","Лечение основных причин, переливание крови, лекарств (иммунозопрессанты, кортикостероиды), селенэктомия (в некоторых случаях), вспомогательная помощь, фолиевая кислота или железодобавление"
309,Латеральный эпикондилит (Теннис Элбоу),"Боль или нежность на внешней стороне локтя, слабость сцепления, трудности с движениями предплечья","Отдых, лед или холодная терапия, сжатие, локти или ремень, обезболивающие устройства, физиотерапия, кортикостероидные инъекции (в тяжелых случаях), эргономические модификации"
310,Сифилис,"Первичная стадия: безболезненные раны (чанкр) на месте инфекции, вторая стадия: кожная сыпь, лихорадка, опухшие лимфатические узлы, боль в горле, скрытая стадия: нет симптомов, третья стадия: серьезные осложнения, затрагивающие сердце, мозг и другие органы","Антибиотики (обычно пенициллин), лечение осложнений, регулярное наблюдение и тестирование"
311,Диабетическая болезнь почек,"Высокое кровяное давление, повышенная потребность в моче, опухоль в ногах и лодыжках, усталость, тошнота, потеря аппетита","Регулирование кровяного давления, контроль над сахаром в крови, лечение осложнений (таких, как диализ или трансплантация почек на продвинутой стадии)"
312,Болезнь носа,"Загруженность носом, тонкий нос, чихание, боль в лице или давление, потеря запаха","Лечение зависит от основной причины (таких, как аллергия, синусит или носовые полипы) и может включать лекарства (такие, как деконгенты, антигистамины, носовые распылители), солевое носовое орошение, вдыхание пара, управление аллергией, антибиотики (при наличии бактериальной инфекции), хирургическое вмешательство (в некоторых случаях)"
313,Вывод наркотиков,"Беспокойство, беспокойство, раздражение, дрожь, пот, тошнота, рвота, бессонница, наркомания","Постепенное свертывание лекарственного средства под медицинским наблюдением, лекарственные средства для лечения симптомов абсорбации (такие, как бензодиазепины, клонидин или бупренорфин), поведенческая терапия, группы поддержки, консультации, программы реабилитации"
314,Стоматологические кариеса,"Зубная боль, чувствительность к зубам, видимые ямы или дыры в зубах, темные пятна на зубах, плохое дыхание","Стоматологические пломбы, короны, лечение корневого канала, извлечение зубов (в тяжелых случаях), гигиена полости рта (чистка и чистка зубов), регулярные стоматологические осмотры, лечение фторами, изменение рациона питания (сокращение сахара и кислотных продуктов питания и напитков), зубные пломбы (для профилактики), просвещение по вопросам надлежащего орального ухода"
315,Гиперхолестеремия,"Высокий уровень холестерина в крови, жирные отложения (ксантомы) на коже или сухожилиях, боль в груди или ангина, сердечные приступы, инсульты","Модификация образа жизни (здоровое питание, регулярные упражнения, регулирование веса, прекращение курения), лекарственные средства для снижения уровня холестерина (такие, как статины), регулярный мониторинг уровней холестерина, регулирование основных заболеваний (таких, как диабет или высокое кровяное давление), потенциальное дополнительное лечение (такие, как секвестрирование желчной кислоты или ингибиторы PCSK9)"
316,Преломление Пателлы,"Острая боль, опухоль, побитость, трудности в выпрямлении или изгибе колена, деформация","Иммобилизация (сплинт, гипс или брек), обезболивание, физиотерапия, упражнения по восстановлению мобильности и силы, возможное хирургическое вмешательство (в тяжелых случаях или при наличии перемещения)"
317,Недостаток почек,"Сокращение мочи, удержание жидкости, усталость, дыхание, тошнота, путаница, боль в груди, припадки","Лечение зависит от основной причины и может включать в себя лекарственные средства для регулирования кровяного давления и симптомов, изменения рациона питания (ограничение соли, белка и калия), диализ (гемодиализ или перитонеальный диализ) или трансплантацию почек (в конечной стадии почечной недостаточности), лечение осложнений, регулирование жидкого и электролитного баланса, изменения образа жизни (активизация, отказ от курения, здоровая диета)"
318,Разлом шейной части,"Острая боль в шее, опухоль, нежность, трудности в движении или повороте головы, онемение или слабость рук или ног","Иммобилизация (ошейник шейки матки, брекет), обезболивание, возможное хирургическое вмешательство (в тяжелых случаях)"
319,Мышечный спазм,"Внезапные, недобровольные мышечные схватки, мышечная боль, жесткость, ограниченный диапазон движения","Упражнения по упражнениям и релаксации, термическая или холодная терапия, болеутоляющие средства, релаксаторы мышц, физиотерапия, изменение образа жизни"
320,Гемофилия,"Чрезмерное кровотечение и кровотечение, продолжительное кровотечение от ран или после стоматологической работы или хирургической операции, спонтанное кровотечение в суставах или мышцах","Замена терапии концентратами при свертывании производства, лекарственные средства для борьбы с кровотечением, физиотерапия, совместные меры защиты, генетическое консультирование и тестирование членов семьи"
321,Гиперосмотическое гиперкетотическое государство,"Повышение уровня сахара в крови, увеличение производства кетона, чрезмерная жажда, частое мочеиспускание, усталость, путаница, запах фруктового дыхания","Инсулиновая терапия для регулирования уровней сахара в крови, внутривенные жидкости для коррекции обезвоживания, замена электролита, коррекция основных причин (например, лечение диабета)"
322,Перитонсильный абсцесс,"Острые боли в горле, трудности с проглатыванием, лихорадка, опухшие миндалины, изменения голоса, боль в шее или жесткость","Антибиотики для лечения инфекции, дренаж абсцесса (отстойный припадок или разрез и дренаж), обезболивающие средства, теплые соленоводные повязки, отдых, жидкости, хирургическое удаление миндалинов (в хронических или повторяющихся случаях)"
323,Гастропаресис,"Тошнота, рвота, ранняя сатисфакция, бледная боль в животе, плохой аппетит","Модификация рациона питания (небольшое, частое питание; низкоплодное, низкожидкое питание), лекарственные средства для содействия опорожнению желудка и, по возможности, для устранения причин, лежащих в его основе"
324,Жирный эмболизм,"Респираторное расстройство, боль в груди, путаница, петехиальная сыпь (небольшие красные или фиолетовые пятна), неврологические симптомы","Поддержка (оксигенная терапия, реанимация жидкости), лечение симптомов (болезни, антикоагулянты), лечение основной причины, если это возможно"
325,Полицитемия Вера,"Увеличение количества красных кровяных клеток, усталость, головная боль, головокружение, зуд, увеличенная селезенка","Флеботомия (абсорбция крови), лекарство (гидроксиурия, интерферон), аспирин с низкой дозой, лечение осложнений (разбавители крови, лекарство от зелья)"
326,Тромбоцитопенсия,"Легкие синяки, продолжительное кровотечение от порезов, петехия (красные или фиолетовые пятна на коже), кровотечение из носа, чрезмерное менструальное кровотечение","Лечение основной причины, переливание тромбоцитов (в случае острого заболевания), лекарственные препараты (кортикостероиды, иммунодепрессанты), избежание лекарств, которые могут ухудшить положение дел с количеством тромбоцитов"
327,Рак головы и шеи,"Устойчивые боли в горле, трудности с проглатыванием, изменения голоса, боль в ухе, масса шеи, потеря веса","Лечение зависит от конкретного вида и стадии рака и может включать хирургию, радиационную терапию, химиотерапию, целевую терапию, иммунную терапию"
328,Псевдогипаратироидизм,"Гипокалькемия (низкий уровень кальция), тетани (спазмы мышечной мышцы), короткий рост, округленная поверхность","Кальция и добавки витамина D, лечение осложнений, гормональная терапия (при необходимости)"
329,Гойтер,"Расширенная щитовидная железа в шее, опухоль или видимый выступ, трудности с глотанием или дыханием","Лечение зависит от основной причины (лечение, радиоактивная йодная терапия, операция)"
330,Настоятельно призвать к нерушимости,"Внезапное, сильное желание мочиться, за которым следует недобровольная утечка мочи","Поведенческая терапия (обучение пузырям, упражнения на тазовом полу), лекарства (антихолинейные препараты, бета-3 агонисты), медицинские приборы"
331,Синдром Эдварда,"Задержка развития, интеллектуальная недееспособность, отличительные черты лица (малая челюсть, низкорослые уши), дефекты сердца","Поддержка, решение связанных с этим медицинских вопросов, программы раннего вмешательства, паллиативный уход"
332,Мышечная дистрофия,"Прогрессивная слабость мышц и дегенерация, трудности ходьбы или движения, истощение мышц","Поддержка, физиотерапия, вспомогательные устройства, лекарства для лечения симптомов, генная терапия (в некоторых случаях)"
333,Mittelschmerz,"Болевая боль и дискомфорт в нижней части брюшной полости, возникающие во время овуляции","Удаление боли (безудержные обезболивающие средства, термическая терапия), гормональное противозачаточное средство (если оно острое или повторяющееся)"
334,Корнельский абразив,"Боль в глазах, красность, ощущения чужого тела, чувствительность к свету","Повязка глаз, смазка глазных капель, антибиотические мазки (если они заражены), избежание дальнейшего раздражения глаз"
335,Анемия хронических заболеваний,"Усталость, слабость, бледная кожа, дыхание, снижение терпимости к упражнениям","Лечение основных хронических заболеваний, решение проблемы недостаточного питания, переливание крови (в тяжелых случаях)"
336,Дистимическое расстройство,"Сохраняющиеся депрессивные симптомы (низкое настроение, отсутствие интереса, изменения во сне и аппетите), сохраняющиеся не менее двух лет","Психотерапия (когнитивная-поведенческая терапия, межличностная терапия), антидепрессантные препараты"
337,Скарлетная лихорадка,"Горло, жар, сыпь (красная, песчаная бумага), опухшие железы","Антибиотики (такие, как пенициллин или эритромицин), отдых, жидкости, симптоматическое облегчение"
338,Гипертензия сердца,"Высокое кровяное давление, боль в груди или дискомфорт, слабое дыхание, усталость","Лекарства (антигипертензии), изменения в образе жизни (здоровое питание, упражнение, борьба со стрессом), лечение основных заболеваний"
339,Злоупотребление наркотиками (барбитураты),"Седация, сонливость, навозная речь, путаница, дыхательная депрессия","Медицинская детоксикация, поддержка, консультирование, программы реабилитации"
340,Полициклический оварский синдром,"Нерегулярные периоды, чрезмерный рост волос, прыщи, увеличение веса, яичники","Изменения в образе жизни (диет, упражнение, регулирование веса), гормональные противозачаточные средства, лечение бесплодия (при необходимости)"
341,Энцефалит,"Головная боль, лихорадка, путаница, припадки, неврологические симптомы","Госпитализация, противовирусные препараты (если они вызваны вирусной инфекцией), поддержка"
342,Киста глаза,"Больный кусок или опухоль на веки, красность, нежность","Теплое сжатие, гигиена в виде век, антибиотическая мазь (в случае заражения), хирургическое удаление (в случае необходимости)"
343,Баланит,"Воспаление пениса (конца пениса), красность, опухоль, боль","Хорошая гигиена, тематические антифунгальные или антибактериальные кремы, кортикостероидные кремы (если они являются тяжелыми) и лечение коренных причин"
344,Иностранное тело в хребте,"Сенсация чужеродного предмета, застрявшего в горле, трудно проглотить или говорить","Незамедлительная медицинская помощь, удаление иностранного тела, оценка любых осложнений"
345,Злоупотребление наркотиками (кокаин),"Эйфория, увеличение энергии, расширение учащихся, быстрый сердечный ритм, высокое кровяное давление, риск сердечного приступа или инсульта","Медицинская детоксикация, консультирование, поведенческая терапия, группы поддержки"
346,Оптический неврит,"Потеря зрения или размытое зрение, боль в глазах при движении глаз, нарушение зрения цвета, мигающие огни или поплавки","Высокодозированные инъекционные кортикостероиды, лечение основной причины, лечение симптомов, визуальная реабилитация"
347,Калабсорбция кишечника,"Хроническая диарея, потеря веса, боль в животе или раздувание, нехватка питательных веществ (витамины, минералы), усталость, отсутствие процветания","Модификация рациона питания (в зависимости от основной причины), добавление некачественных питательных веществ, лекарств (для регулирования симптомов или основных заболеваний), лечение основной причины"
348,Отравление свинцом,"Усталость, боль в животе, боль в суставах, потеря памяти или когнитивные трудности, задержки развития (у детей), анемия","Удаление основного источника, хелтационная терапия (в тяжелых случаях), вспомогательная помощь, лекарство от симптомов, лечение осложнений (таких, как анемия)"
349,Вирусные бородавки,"Небольшие неровные ростки кожи или слизистые мембраны, как правило, безболезненные, могут появляться в скоплениях или в виде одиночных повреждений","Предметное лечение (алициклическая кислота, криотерапия), лазерная терапия, хирургическое удаление, иммунная терапия (в случае постоянных или повторяющихся случаев)"
350,Гиперхидроз,"Чрезмерный пот (помимо того, что необходимо для регулирования температуры), как правило, в конкретных районах (таких, как пальмы, подошвы, подружки), может препятствовать повседневной деятельности","Антиперспиранты, лекарства (антихолинергика, бета-блокаторы), ионтофорез, инъекции ботокса, хирургические операции (симпатэктомия, удаление пота)"
351,Строке,"Внезапная опухоль или слабость лица, руки или ноги (обычно с одной стороны тела), путаница, проблемы с речью или пониманием, сильная головная боль","Срочная медицинская помощь, лекарства (наркотики для убоя, антикоагулянты), поддержка, реабилитация (физическая терапия, речевая терапия), изменение образа жизни (диет, упражнение, прекращение курения), устранение основополагающих факторов риска"
352,Кистоидная киста,"Боль или дискомфорт в области хвостовой кости, опухоль, красность, дренаж гнойной или крови, абсцессия","Теплые компрессии, обезболивание, антибиотики (для инфекции), разрез и дренаж, хирургическое удаление или обрезание, лечение ран, изменение образа жизни для предотвращения рецидива"
353,Разрушение ран,"Острая боль, опухоль, деформация, побитость, трудности в движении или использование затронутой зоны","Срочная медицинская помощь, иммобилизация, обезболивание, хирургическая операция (для ремонта или восстановления поврежденных тканей), реабилитация (физическая терапия, трудовая терапия)"
354,Нормальная гидроцефалия давления,"Гейтские расстройства, недержание мочеиспускания, когнитивное расстройство или симптомы, похожие на слабоумие","Помещение вентритрополитонного шунтирования, лечение симптомов"
355,Алопеция,"Потеря волос или лысая, щетка или общая потеря волос","Тематические лекарства (миноксидил), пероральные препараты (финастерид), стероидные инъекции, операции по трансплантации волос, парики или волосы"
356,Hashimoto тиредит,"Усталость, увеличение веса, запор, сухая кожа, депрессия, мышцы и жесткость, чувствительность к холоду","Замена тироидных гормонов (levotiroxin), мониторинг и лечение симптомов"
357,Плоские ножки,"Боль в ногах или ахитизм, трудности с движением ног и лодыжек, усталость ног, опухоль","Обувь, ортопедия, физиотерапия, обезболивание, хирургия (в тяжелых случаях)"
358,Неалкогольное заболевание печени (NASH),"Усталость, опухоль брюшной полости или боль, увеличенная печень, повышенные ферменты печени, сопротивление инсулину","Изменения в образе жизни (потеря веса, здоровая диета, регулярные упражнения), лечение основных заболеваний, лекарства, по мере необходимости"
359,Гемартроз,"Опухоль, боль, тепло, ограниченный диапазон движения","Метод RICE (излучение, лед, сжатие, обезболивание), обезболивание, суставный выпадение или дренаж (в тяжелых случаях)"
360,Пролапс пелвичского органа,"Пельвичское давление или боль, недержание мочеиспускания, трудности с движением кишечника, дискомфорт или боль во время полового сношения","Упражнения на полом, использование пессина, гормональная терапия, хирургический ремонт (в тяжелых случаях)"
361,Преломление руки,"Боль, опухоль, деформация, ограниченная подвижность или трудности с перемещением руки, побитость","Иммобилизация (отпечаток или сплинт), обезболивание, физиотерапия, хирургия (в сложных переломах)"
362,Колебания (разбрызгивание),"Легкие синяки, длительное кровотечение после травмы или операции, чрезмерное кровотечение от мелких порезов или ссадин, частое кровотечение из носа, сильное менструальное кровотечение","Переливание крови, заместительная терапия при свертывании крови, лекарства для стимулирования сворачивания крови, изменения образа жизни, хирургия (в некоторых случаях)"
363,Внутреннее кровоизлияние,"Острая головная боль, тошнота или рвота, изменение зрения, потеря сознания, припадки","Срочная медицинская помощь, хирургическая операция (в случае необходимости), медикаменты для борьбы с кровотечением и симптомы"
364,Гиперкалемия,"Слабость мышц или усталость, неправильное сердцебиение или пальцы, онемение или покалывание, тошнота или рвота","Лечение основной причины, лекарственные средства для снижения уровня калия, модификация рациона питания, диализ (в тяжелых случаях)"
365,Заражение Корнеа,"Краска глаз, боль или дискомфорт, размытость или уменьшение зрения, повышенная чувствительность к свету","Антибиотические или анти грибные капли глаз, пероральные препараты, вспомогательные услуги, возможная трансплантация кукурузы (в тяжелых случаях)"
366,Избыток лёгких,"Кашель с флегмом или гнойной, боль в груди, жар, дыхание, усталость","Антибиотики, дренирование или хирургическое удаление абсцесса, поддержка, лечение основных легких"
367,Грязная лихорадка,"Высокая температура, сильная головная боль, боль в суставах и мышцах, сыпь, тошнота или рвота, кровотечение","Поддержка (гидратация, обезболивающее, отдых), контроль, медицинская помощь в тяжелых случаях (замена жидкости, переливание крови, госпитализация)"
368,Хронический синусит,"Боли или давление в лице, носовая загруженность, толстый носовой разряд, посленазальная капельница, кашель, усталость","Соленое носовое орошение, носовые кортикостероиды, антибиотики (в бактериальных случаях), деконгенты, обезболивающие, хирургические операции (в тяжелых или хронических случаях)"
369,Холестатома,"Боль в ушах, потеря слуха, дренажные уши, головокружение или вертиго, тень","Хирургическое удаление, антибиотики (для сопутствующих инфекций)"
370,Volvulus,"Боль в животе, тошнота, рвота, плавание, запор, кровотечение",Срочная операция по расчленению пострадавшего органа и восстановлению кровотока
371,Повреждение пальца,"Боль, опухоль, побитость, деформация, ограниченный диапазон движения, трудности с захватом или использованием пальца","Метод RICE (респиратор, лед, компрессия, опухоль), сливки, обезболивающее, физиотерапия, хирургия (в тяжелых случаях)"
372,Отравление от анальгетики,"Тошнота, рвота, боль в животе, повреждение печени или почек, головокружение, путаница, дыхательная травма","Незамедлительная медицинская помощь, использование активированного древесного угля, поддержка, противоядие (если имеется), лечение осложнений"
373,Судебное расследование,"Неустойчивое или быстрое сердцебиение, учащение, дыхание, боль в груди или дискомфорт, головокружение или головокружение, усталость","Лекарства (антиарифмические средства, антикоагуляторы), электрическая кардиотерапия, абляция катетера, изменения в образе жизни"
374,Инфекция Пингёрма,"Взгляд вокруг ануса или влагалища, беспокойный сон, раздражение, анальный или вагинальный разряд, боль в животе или дискомфорт, потеря аппетита","Антелинтические препараты, меры гигиены (мытье рук, обрезка ногтей, отмывание постельных принадлежностей), лечение членов домашнего хозяйства"
375,Уретальные клапаны,"Тяжелый или плохой мочевой поток, инфекция мочевого тракта, частота или срочность мочеиспускания, дистензия брюшной полости, низкий вес","Хирургическое вмешательство (абляция или ресекция клапанов), катетеризация, лекарство от симптомов и осложнений"
376,Мигрен,"Острые головные боли, тошнота, чувствительность к свету и звуку","Лекарственные средства для облегчения боли, изменения в образе жизни, профилактические препараты"
377,Артрит,"Боль, жесткость, опухоль","Лекарства, физиотерапия, хирургия (в тяжелых случаях)"
378,Сциатика,"Боли в нижней части спинки, боли в ноге, онемение или покалывание","Обезболивающие, физиотерапия, упражнения"
379,Сложный региональный синдром боли (КПИ),"Жгучая боль, опухоль, изменение температуры кожи","Физическая терапия, лекарства, нервные блоки"
380,Лупус,"Болезни, усталость, сыпь кожи","Лекарства (антивоспалительные, иммунопрессантные), изменения в образе жизни"
381,Эндометриоз,"Пельвичская боль, болезненные периоды, бесплодие","Лекарства от боли, гормональная терапия, операция"
382,Хроническая головная боль,"Постоянная боль в голове, напряжение в шее и плечах","Лекарства, облегчающие боль, методы релаксации, борьба со стрессом"
383,Сухая кожа,"Сухая, грязная кожа с чесоткой","Увлажняющие кремы или лосьоны, избегающие горячего душа или ванны, используя мягкое мыло"
384,Экзема,"Зуд, красный, воспаленная кожа, сыпь","Эмолиенты (моторизаторы), тематические кортикостероиды или иммуномодуляторы, избегающие спусковых установок"
385,Псориаз,"Красные, царапины на коже, чешется","Предметное лечение (кортикостероиды, слюниловая кислота), системные лекарства (ретиноиды, иммунопрепрессанты), фототерапия"
386,Скаби,"Сильно чешутся, особенно ночью, маленькие волдыри или головки","Лекарства (проблемные или перорально-партицидные), стиральная одежда и постельные принадлежности в горячей воде, вакуум и уборка помещений"
387,Уртикария (приветствие),"Поднимается, чешется на коже","Антигистамины, избегающие спусковых установок, кортикостероиды (в тяжелых случаях)"
388,Укусы насекомых,"Красный, опухший, чешется","Тематические кортикостероиды, пероральные антигистамины, холодные компрессии"
389,Контактный дерматит,"Звучание, красная сыпь, вызванная контактом с раздражителями или аллергенами","Избежание взрывателя, кортикостероидовых кремов или мазей, антигистаминов"
390,"Дерматит, вызванный воздействием Солнца","Солнечная сыпь, краснота, зуд","Увлажнители, холодные компрессы, тематические кортикостероиды"
391,Параситические инфекции,"Жесткая чесотка, видимые вши или вши в затронутой зоне","Лекарства (проблемные или пероральные антипаразитные средства), стирка одежды и постельные принадлежности в горячей воде"
392,грипп (Флу),"Высокая температура, боли в теле, усталость, кашля, боль в горле, перенаселенность","Отдых, жидкости, внезапные лекарства для лечения симптомов, антивирусные препараты (в некоторых случаях)"
393,Инфекция мочевого тракта (UTI),"Частое мочеиспускание, горящие ощущения во время мочеиспускания, облачная или кровопролитная моча, тазовая боль","Антибиотики, повышенный уровень поступления жидкости, обезболивающие средства"
394,Бронхит,"Устойчивый кашель с желтой или зеленой слизью, загруженность грудной клетки, усталость","Отдых, жидкости, заглушители от кашля, ингаляторы (если они предписаны) с учетом основной причины"
395,Гастроэнтерит (желудочный грипп),"Тошнота, рвота, диарея, боли в животе или спазмы, лихорадка","Отдых, жидкости (электролитные растворы), диета, не раздражающая еда, внезапные лекарства для лечения симптомов"
396,Увлажненные камни (почечные камни),"Острая боль в животе или спине, кровь в моче, частое мочеиспускание, боль во время мочеиспускания","Удаление боли, увеличение потребления жидкости, лекарственные средства, помогающие пройти через камни, процедуры или хирургические операции"
397,Остеопороз,"Хрупкие кости, потеря высоты во времени, боль в спине, переломы","Кальций и добавки витамина D, регулярные упражнения, лекарственные препараты для медленной потери костей"
